Run Date,Momentum Rank,ID Rank,Stock,Live Price,Momentum 12-2,Positive Days %,Negative Days %,ID,Portfolio Signal,Weight %,Sell Reason,Buy Reason,Exit Safety,Data Safety
2026-09-18,34,40,NUVAMA,1713.699951171875,0.4824435151938049,0.5198019801980198,0.4801980198019802,-0.03960396039603964,HOLD,2.0,,,,VALID
2026-09-18,44,41,AUBANK,1058.5999755859375,0.4315290364704816,0.5198019801980198,0.4801980198019802,-0.03960396039603964,HOLD,2.0,,,,VALID
2026-09-18,50,42,ABSLAMC,1060.4000244140625,0.4042840073377818,0.5174129353233831,0.48258706467661694,-0.03482587064676612,HOLD,2.0,,,,VALID
2026-09-18,48,43,KARURVYSYA,332.1499938964844,0.4150641129198793,0.5148514851485149,0.48514851485148514,-0.02970297029702973,HOLD,2.0,,,,VALID
2026-09-18,57,44,RADICO,4535.39990234375,0.36120246341977036,0.5148514851485149,0.48514851485148514,-0.02970297029702973,HOLD,2.0,,,,VALID
2026-09-18,74,45,NYKAA,332.1499938964844,0.3135851559954206,0.5148514851485149,0.48514851485148514,-0.02970297029702973,HOLD,2.0,,,,VALID
2026-09-18,47,46,IPCALAB,2009.5999755859375,0.41751188945710105,0.5148514851485149,0.48514851485148514,-0.02970297029702973,HOLD,2.0,,,,VALID
2026-09-18,93,47,IIFL,600.2000122070312,0.2442893223953002,0.5124378109452736,0.48756218905472637,-0.02487562189054726,HOLD,2.0,,,,VALID
2026-09-18,12,48,IDEA,13.920000076293945,0.7525509571046058,0.51,0.49,-0.020000000000000018,HOLD,2.0,,,,VALID
2026-09-18,69,49,EMCURE,2003.800048828125,0.32985300454277944,0.5099009900990099,0.4900990099009901,-0.01980198019801982,HOLD,2.0,,,,VALID
2026-09-18,71,50,TITAN,4798.5,0.32524106490805504,0.5099009900990099,0.4900990099009901,-0.01980198019801982,HOLD,2.0,,,,VALID
